Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,27,Juninho Bacuna,20,21,16,1412,1,0,0,0,4,0,0.06,0,0.06,0.06,0.06,0.5,0.5,1.6,0.03,0.1,0.13,0.03,0.13,39,37,0,0.00,0,0.000,0.255,0.000,,
,,,28,Leandro Bacuna,26,11,4,561,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.02,0.01,0.02,17,14,1,0.16,0,0.000,0.321,0.000,,
,,,29,Eric Bailly,24,12,8,638,0,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0,0.03,0,0.03,0.03,0.03,16,13,1,0.14,0,0.000,0.000,0.141,,
,,,30,Leighton Baines,33,6,5,375,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.01,0.04,0.05,0.01,0.05,7,6,0,0.00,0,0.000,0.000,0.000,,
,,,31,Fabián Balbuena,26,23,23,2013,1,0,0,0,2,0,0.04,0,0.04,0.04,0.04,2.1,2.1,0.1,0.09,0,0.1,0.09,0.1,61,32,5,0.22,0,0.000,0.089,0.000,,
,,,32,Leon Balogun,30,8,5,594,1,0,0,0,2,0,0.15,0,0.15,0.15,0.15,0.2,0.2,0,0.03,0,0.03,0.03,0.03,15,10,0,0.00,0,0.000,0.303,0.000,,
,,,33,Sol Bamba,33,28,28,2474,4,1,0,0,7,0,0.15,0.04,0.18,0.15,0.18,2.6,2.6,0.4,0.1,0.01,0.11,0.1,0.11,95,52,7,0.25,0,0.000,0.255,0.000,,
,,,34,Phil Bardsley,33,19,19,1670,0,0,0,0,9,0,0,0,0,0,0,0.2,0.2,0.7,0.01,0.04,0.05,0.01,0.05,33,27,4,0.22,0,0.000,0.485,0.000,,
,,,35,Ross Barkley,24,27,13,1245,3,5,0,0,1,0,0.22,0.36,0.58,0.22,0.58,3.8,3.8,2.1,0.27,0.15,0.43,0.27,0.43,79,13,7,0.51,0,0.000,0.072,0.000,,
,,,36,Ashley Barnes,28,37,26,2388,12,2,2,2,8,0,0.45,0.08,0.53,0.38,0.45,12,10.4,3.6,0.45,0.13,0.59,0.39,0.53,122,41,7,0.26,0,0.000,0.302,0.000,,
,,,37,Harvey Barnes,20,16,11,1004,1,2,0,0,0,0,0.09,0.18,0.27,0.09,0.27,3.2,3.2,1.4,0.28,0.13,0.41,0.28,0.41,43,16,1,0.09,0,0.000,0.000,0.000,,
,,,38,Antonio Barreca,23,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
