Legend:,,,,Player,Age,MP,Start,Min,Gls,A,PK,PKatt,CrdY,CrdR,G*,A*,G*+A*,G*-PK*,G*+A*-PK*,xG,NPxG,xA,xG*,xA*,xG*+xA*,NPxG*,NPxG*+xA*,Total Points,Conceded,CleanSheets,CleanSheets*,PenMiss,PenMiss*,YC*,RC*,,
,,,125,Abdoulaye Doucouré,25,35,34,3062,5,6,0,0,7,0,0.15,0.18,0.32,0.15,0.32,5.6,5.6,3.8,0.16,0.11,0.28,0.16,0.28,124,56,5,0.15,0,0.000,0.206,0.000,,
,,,126,Luke Dreher,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,127,Martin Dubravka,29,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,48,11,0.29,0,0.000,0.026,0.000,,
,,,128,Shane Duffy,26,35,35,3087,5,1,0,0,4,1,0.15,0.03,0.17,0.15,0.17,2.8,2.8,0.3,0.08,0.01,0.09,0.08,0.09,115,55,7,0.20,0,0.000,0.117,0.029,,
,,,129,Demeaco Duhaney,19,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,130,Paul Dummett,26,26,21,1990,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.8,0.01,0.03,0.04,0.01,0.04,67,27,7,0.32,0,0.000,0.045,0.000,,
,,,131,Lewis Dunk,26,36,36,3151,2,1,0,0,6,1,0.06,0.03,0.09,0.06,0.09,1.2,1.2,0.6,0.03,0.02,0.05,0.03,0.05,91,56,7,0.20,0,0.000,0.171,0.029,,
,,,132,Erik Durm,26,28,21,2055,0,1,0,0,0,0,0,0.04,0.04,0,0.04,0.3,0.3,0.9,0.02,0.04,0.05,0.02,0.05,49,45,3,0.13,0,0.000,0.000,0.000,,
,,,133,Bruno Ecuele Manga,30,38,37,3376,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0.8,0.8,0.4,0.02,0.01,0.03,0.02,0.03,97,67,10,0.27,0,0.000,0.000,0.000,,
,,,134,Ederson Santana de Moraes,24,38,38,3420,0,1,0,0,2,0,0,0.03,0.03,0,0.03,0,0,0.3,0,0.01,0.01,0,0.01,169,23,20,0.53,0,0.000,0.053,0.000,,
,,,135,Harvey Elliott,15,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.53,0,0.53,0.53,0.53,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,136,Mohamed Elneny,26,8,5,380,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.14,0.03,0.17,0.14,0.17,10,5,0,0.00,0,0.000,0.000,0.000,,
,,,137,Mohamed Elyounoussi,23,16,8,793,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,1.1,0.21,0.13,0.34,0.21,0.34,28,10,4,0.45,0,0.000,0.000,0.000,,
,,,138,Christian Eriksen,26,35,30,2774,8,12,0,0,3,0,0.26,0.39,0.65,0.26,0.65,5.5,5.5,6.9,0.18,0.22,0.4,0.18,0.4,161,37,8,0.26,0,0.000,0.097,0.000,,
,,,139,Neil Etheridge,28,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,154,69,10,0.26,0,0.000,0.053,0.000,,
,,,140,Jonny Evans,30,24,21,1996,1,0,0,0,2,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.2,0.04,0.01,0.05,0.04,0.05,77,26,8,0.36,0,0.000,0.090,0.000,,
,,,141,Lukasz Fabianski,33,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,143,55,7,0.18,0,0.000,0.000,0.000,,
,,,142,Fabio Henrique Tavares,24,28,21,2017,1,2,0,0,6,0,0.04,0.09,0.13,0.04,0.13,1,1,1.3,0.04,0.06,0.1,0.04,0.1,65,14,11,0.49,0,0.000,0.268,0.000,,
,,,143,Cesc Fàbregas,31,6,1,180,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.05,0.14,0.19,0.05,0.19,6,2,0,0.00,0,0.000,0.500,0.000,,
,,,144,Fabricio Agosto Ramirez,30,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0.00,0,0.000,0.000,0.000,,
,,,145,Marouane Fellaini,30,14,6,752,0,1,0,0,1,0,0,0.12,0.12,0,0.12,0.4,0.4,0.1,0.05,0.01,0.06,0.05,0.06,26,14,1,0.12,0,0.000,0.120,0.000,,
,,,146,Kiko Femenia,27,29,22,2049,1,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,1.8,0.02,0.08,0.1,0.02,0.1,66,40,4,0.18,0,0.000,0.044,0.000,,
,,,147,Federico Fernández,29,19,17,1484,0,1,0,0,2,0,0,0.06,0.06,0,0.06,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,47,24,3,0.18,0,0.000,0.121,0.000,,
,,,148,Fernando Luiz Rosa,33,29,27,2377,1,3,0,0,5,0,0.04,0.11,0.15,0.04,0.15,1.9,1.9,2.9,0.07,0.11,0.18,0.07,0.18,79,15,12,0.45,0,0.000,0.189,0.000,,
,,,149,Roberto Firmino,26,34,31,2607,12,6,1,1,0,0,0.41,0.21,0.62,0.38,0.59,13.3,12.5,5.6,0.46,0.19,0.65,0.43,0.63,160,15,19,0.66,0,0.000,0.000,0.000,,
,,,150,Phil Foden,18,13,3,335,1,0,0,0,0,0,0.27,0,0.27,0.27,0.27,2.5,2.5,0.6,0.67,0.16,0.83,0.67,0.83,25,0,2,0.54,0,0.000,0.000,0.000,,
,,,151,Fraser Forster,30,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.00,0,0.000,0.000,0.000,,
,,,152,Ben Foster,35,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0,0.01,0.01,0,0.01,129,59,7,0.18,0,0.000,0.026,0.000,,
,,,153,Timothy Fosu-Mensah,20,12,10,793,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.04,0.05,0.01,0.05,14,18,1,0.11,0,0.000,0.340,0.000,,
,,,154,Juan Foyth,20,12,10,888,1,0,0,0,3,1,0.1,0,0.1,0.1,0.1,0.7,0.7,0.3,0.08,0.03,0.11,0.08,0.11,35,12,3,0.30,0,0.000,0.304,0.101,,
,,,155,Simon Francis,33,17,13,1229,0,2,0,0,1,0,0,0.15,0.15,0,0.15,0.1,0.1,1,0.01,0.07,0.08,0.01,0.08,40,24,4,0.29,0,0.000,0.073,0.000,,
,,,156,Ryan Fraser,24,38,35,3166,7,14,0,0,2,0,0.2,0.4,0.6,0.2,0.6,4.5,4.5,11.8,0.13,0.34,0.46,0.13,0.46,181,64,9,0.26,0,0.000,0.057,0.000,,
,,,157,Frederico Rodrigues de Paula Santos,25,17,13,1041,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,0.07,0.08,0.15,0.07,0.15,40,19,1,0.09,0,0.000,0.173,0.000,,
,,,158,Ryan Fredericks,25,15,12,1086,1,0,0,0,5,0,0.08,0,0.08,0.08,0.08,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06,38,16,3,0.25,0,0.000,0.414,0.000,,
,,,159,Christian Fuchs,32,3,2,207,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.02,0.13,0.15,0.02,0.15,3,5,0,0.00,0,0.000,0.000,0.000,,
,,,160,Manolo Gabbiadini,26,12,4,476,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19,1.9,1.9,0.2,0.37,0.04,0.4,0.37,0.4,23,12,0,0.00,0,0.000,0.000,0.000,,
,,,161,Sam Gallagher,22,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.00,0,0.000,0.000,0.000,,
,,,162,Idrissa Gueye,28,33,32,2822,0,2,0,0,6,0,0,0.06,0.06,0,0.06,0.7,0.7,1,0.02,0.03,0.06,0.02,0.06,78,31,13,0.41,0,0.000,0.191,0.000,,
,,,163,James Garner,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,164,Paulo Gazzaniga,26,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0.33,0,0.000,0.000,0.000,,
,,,165,David de Gea,27,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,54,7,0.18,0,0.000,0.026,0.000,,
,,,166,Rachid Ghezzal,26,19,8,743,1,0,0,0,3,0,0.12,0,0.12,0.12,0.12,1.1,1.1,1.7,0.14,0.2,0.34,0.14,0.34,28,13,1,0.12,0,0.000,0.363,0.000,,
,,,167,Morgan Gibbs-White,18,26,5,663,0,1,0,0,1,0,0,0.14,0.14,0,0.14,0.9,0.9,1.5,0.13,0.2,0.33,0.13,0.33,37,12,4,0.54,0,0.000,0.136,0.000,,
,,,168,Ben Gibson,25,1,1,62,1,0,0,0,1,0,1.45,0,1.45,1.45,1.45,0.5,0.5,0,0.69,0,0.69,0.69,0.69,6,3,0,0.00,0,0.000,1.452,0.000,,
,,,169,Olivier Giroud,31,27,7,847,2,4,0,0,1,0,0.21,0.43,0.64,0.21,0.64,3.7,3.7,1.9,0.4,0.2,0.6,0.4,0.6,55,5,6,0.64,0,0.000,0.106,0.000,,
,,,170,Andre Gomes,25,27,24,1980,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,1.7,1.7,0.6,0.08,0.03,0.1,0.08,0.1,64,28,9,0.41,0,0.000,0.318,0.000,,
,,,171,Angel Gomes,17,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.34,0,0.34,0.34,0.34,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,172,Joe Gomez,21,16,12,1063,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.3,0.02,0.03,0.05,0.02,0.05,55,4,7,0.59,0,0.000,0.169,0.000,,
,,,173,Jon Gorenc Stankovic,22,11,9,715,1,0,0,0,2,0,0.13,0,0.13,0.13,0.13,0.9,0.9,0.2,0.11,0.02,0.13,0.11,0.13,24,20,2,0.25,0,0.000,0.252,0.000,,
,,,174,Dan Gosling,28,25,19,1739,2,1,0,0,8,0,0.1,0.05,0.16,0.1,0.16,1.5,1.5,1.1,0.08,0.06,0.13,0.08,0.13,54,33,4,0.21,0,0.000,0.414,0.000,,
,,,175,Karlan Grant,20,13,9,877,3,0,0,0,0,0,0.31,0,0.31,0.31,0.31,2.7,2.7,0.3,0.28,0.03,0.31,0.28,0.31,45,23,1,0.10,0,0.000,0.000,0.000,,
,,,176,Andre Gray,27,29,13,1366,7,2,0,0,2,0,0.46,0.13,0.59,0.46,0.59,6.1,6.1,1.5,0.4,0.1,0.5,0.4,0.5,83,23,4,0.26,0,0.000,0.132,0.000,,
,,,177,Demarai Gray,22,34,23,1985,4,1,0,0,2,0,0.18,0.05,0.23,0.18,0.23,4.1,4.1,0.7,0.18,0.03,0.22,0.18,0.22,84,29,6,0.27,0,0.000,0.091,0.000,,
,,,178,Mason Greenwood,16,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.1,0.66,0.09,0.76,0.66,0.76,4,2,0,0.00,0,0.000,0.000,0.000,,
,,,179,Pascal Groß,27,25,24,1864,3,3,1,2,1,0,0.14,0.14,0.29,0.1,0.24,3.7,2.2,4.7,0.18,0.23,0.41,0.11,0.33,80,31,3,0.14,1,0.048,0.048,0.000,,
,,,180,Vicente Guaita,31,20,20,1754,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,23,7,0.36,0,0.000,0.103,0.000,,
,,,181,Matteo Guendouzi,19,33,23,2149,0,0,0,0,9,0,0,0,0,0,0,0.4,0.4,2.1,0.02,0.09,0.11,0.02,0.11,47,32,3,0.13,0,0.000,0.377,0.000,,
,,,182,Ilkay Gundogan,27,31,23,2137,6,3,0,0,3,0,0.25,0.13,0.38,0.25,0.38,3.6,3.6,4.1,0.15,0.17,0.32,0.15,0.32,113,15,13,0.55,0,0.000,0.126,0.000,,
,,,183,Angus Gunn,22,12,12,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,3,0.25,0,0.000,0.000,0.000,,
,,,184,Aron Gunnarsson,29,28,27,2266,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.3,1.3,1.6,0.05,0.06,0.11,0.05,0.11,65,40,6,0.24,0,0.000,0.199,0.000,,
,,,185,Florent Hadergjonaj,24,24,19,1842,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.6,0.02,0.08,0.1,0.02,0.1,50,36,4,0.20,0,0.000,0.049,0.000,,
,,,186,Ben Hamer,30,7,7,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0.00,0,0.000,0.000,0.000,,
,,,187,Kadeem Harris,25,13,3,375,1,0,0,0,1,0,0.24,0,0.24,0.24,0.24,1,1,0.3,0.24,0.08,0.32,0.24,0.32,24,6,1,0.24,0,0.000,0.240,0.000,,
,,,188,Joe Hart,31,19,19,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,41,4,0.21,0,0.000,0.000,0.000,,
,,,189,Isaac Hayden,23,25,21,1859,1,4,0,0,3,1,0.05,0.19,0.24,0.05,0.24,0.9,0.9,1.7,0.04,0.08,0.12,0.04,0.12,69,25,7,0.34,0,0.000,0.145,0.048,,
,,,190,Eden Hazard,27,37,32,2923,16,15,4,4,2,0,0.49,0.46,0.95,0.37,0.83,11.3,8.2,9.4,0.35,0.29,0.64,0.25,0.54,238,35,12,0.37,0,0.000,0.062,0.000,,
,,,191,Rhys Healey,23,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,3,1,0,0.00,0,0.000,0.000,0.000,,
,,,192,Tom Heaton,32,19,19,1710,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,27,4,0.21,0,0.000,0.158,0.000,,
,,,193,Jordan Henderson,28,32,21,1987,1,3,0,0,2,1,0.05,0.14,0.18,0.05,0.18,1.7,1.7,1.5,0.08,0.07,0.15,0.08,0.15,76,14,12,0.54,0,0.000,0.091,0.045,,
,,,194,Jeff Hendrick,26,32,25,2063,3,0,0,0,4,0,0.13,0,0.13,0.13,0.13,1.4,1.4,1.5,0.06,0.06,0.13,0.06,0.13,73,44,4,0.17,0,0.000,0.175,0.000,,
,,,195,Wayne Hennessey,31,18,17,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,26,5,0.29,0,0.000,0.000,0.000,,
,,,196,Javier Hernandez,30,25,14,1334,7,1,0,0,2,0,0.47,0.07,0.54,0.47,0.54,6.3,6.3,1.7,0.42,0.12,0.54,0.42,0.54,86,20,6,0.40,0,0.000,0.135,0.000,,
,,,197,Ander Herrera,28,22,16,1403,2,3,0,0,4,0,0.13,0.19,0.32,0.13,0.32,1.7,1.7,1,0.11,0.07,0.17,0.11,0.17,62,18,5,0.32,0,0.000,0.257,0.000,,
,,,198,Heung-Min Son,26,31,23,2039,12,6,0,0,2,1,0.53,0.26,0.79,0.53,0.79,7.8,7.8,3.2,0.34,0.14,0.48,0.34,0.48,159,23,10,0.44,0,0.000,0.088,0.044,,
,,,199,Gonzalo Higuaín,30,14,13,1085,5,0,0,0,0,0,0.41,0,0.41,0.41,0.41,5.3,5.3,1.1,0.44,0.09,0.53,0.44,0.53,53,15,5,0.41,0,0.000,0.000,0.000,,
,,,200,Wesley Hoedt,24,13,13,1170,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.04,0,0.04,0.04,0.04,29,24,4,0.31,0,0.000,0.154,0.000,,
,,,201,Jonathan Hogg,29,29,29,2367,0,1,0,0,8,1,0,0.04,0.04,0,0.04,0.3,0.3,0.5,0.01,0.02,0.03,0.01,0.03,54,44,5,0.19,0,0.000,0.304,0.038,,
,,,202,Junior Hoilett,28,32,23,2141,3,1,0,0,4,0,0.13,0.04,0.17,0.13,0.17,3.3,3.3,1.3,0.14,0.05,0.19,0.14,0.19,82,46,6,0.25,0,0.000,0.168,0.000,,
,,,203,Rob Holding,22,10,9,807,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02,24,10,1,0.11,0,0.000,0.112,0.000,,
,,,204,José Holebas,34,28,27,2393,3,6,0,0,12,1,0.11,0.23,0.34,0.11,0.34,1.2,1.2,3.7,0.04,0.14,0.18,0.04,0.18,93,41,5,0.19,0,0.000,0.451,0.038,,
,,,205,Mason Holgate,21,5,4,408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0.00,0,0.000,0.221,0.000,,
,,,206,Callum Hudson-Odoi,17,10,4,393,0,1,0,0,0,0,0,0.23,0.23,0,0.23,0.7,0.7,1,0.16,0.22,0.37,0.16,0.37,18,5,2,0.46,0,0.000,0.000,0.000,,
,,,207,Will Hughes,23,32,31,2418,2,4,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.5,2.5,3.4,0.09,0.13,0.22,0.09,0.22,87,39,7,0.26,0,0.000,0.186,0.000,,
,,,208,Emerson Hyndman,22,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.00,0,0.000,0.000,0.000,,
,,,209,Pierre-Emile Hojbjerg,22,31,31,2760,4,3,0,0,8,2,0.13,0.1,0.23,0.13,0.23,2.5,2.5,2.3,0.08,0.07,0.16,0.08,0.16,90,59,4,0.13,0,0.000,0.261,0.065,,
,,,210,Jordon Ibe,22,19,9,797,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,0.6,0.6,0.7,0.07,0.07,0.14,0.07,0.14,33,23,1,0.11,0,0.000,0.113,0.000,,
,,,211,Vicente Iborra,30,8,3,229,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.07,0.02,0.09,0.07,0.09,9,4,0,0.00,0,0.000,0.000,0.000,,
,,,212,Kelechi Iheanacho,21,30,9,941,1,3,0,0,2,0,0.1,0.29,0.38,0.1,0.38,2.4,2.4,1.7,0.23,0.16,0.39,0.23,0.39,58,16,1,0.10,0,0.000,0.191,0.000,,
,,,213,Danny Ings,26,24,23,1651,7,3,3,3,1,0,0.38,0.16,0.55,0.22,0.38,8.6,6.4,2.5,0.47,0.14,0.61,0.35,0.49,90,27,5,0.27,0,0.000,0.055,0.000,,
,,,214,Alex Iwobi,22,35,22,1970,3,6,0,0,0,0,0.14,0.27,0.41,0.14,0.41,3.2,3.2,5.5,0.15,0.25,0.4,0.15,0.4,99,32,4,0.18,0,0.000,0.000,0.000,,
,,,215,Jose Izquierdo,26,15,9,795,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.7,0.7,0.5,0.08,0.06,0.14,0.08,0.14,31,10,3,0.34,0,0.000,0.113,0.000,,
,,,216,Phil Jagielka,35,7,4,331,1,0,0,0,0,1,0.27,0,0.27,0.27,0.27,0.4,0.4,0.2,0.1,0.05,0.15,0.1,0.15,22,4,2,0.54,0,0.000,0.000,0.272,,
,,,217,Alireza Jahanbakhsh,24,19,12,1020,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.3,0.07,0.03,0.1,0.07,0.1,33,16,5,0.44,0,0.000,0.176,0.000,,
,,,218,Daryl Janmaat,29,18,17,1520,0,2,0,0,3,0,0,0.12,0.12,0,0.12,0.4,0.4,0.7,0.02,0.04,0.06,0.02,0.06,50,22,3,0.18,0,0.000,0.178,0.000,,
,,,219,Vincent Janssen,24,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.76,0,0.76,0.76,0.76,3,0,0,0.00,0,0.000,0.000,0.000,,
,,,220,Carl Jenkinson,26,3,2,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0.00,0,0.000,0.000,0.000,,
,,,221,Gabriel Jesus,21,29,8,1036,7,3,1,1,1,0,0.61,0.26,0.87,0.52,0.78,9.2,8.4,1.7,0.8,0.15,0.95,0.73,0.88,79,11,2,0.17,0,0.000,0.087,0.000,,
,,,222,Raúl Jiménez,27,38,36,3111,13,7,2,2,4,0,0.38,0.2,0.58,0.32,0.52,14.2,12.7,7.2,0.41,0.21,0.62,0.37,0.58,181,40,12,0.35,0,0.000,0.116,0.000,,
,,,223,Stefan Johansen,27,12,4,417,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,11,12,0,0.00,0,0.000,0.863,0.000,,
,,,224,Ben Johnson,18,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.00,0,0.000,0.000,0.000,,
,,,225,Tyreke Johnson,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,226,Phil Jones,26,18,15,1263,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0.4,0.4,0.5,0.03,0.04,0.07,0.03,0.07,43,17,3,0.21,0,0.000,0.071,0.000,,
,,,227,Jorge Luiz Frello Filho,26,37,37,3156,2,0,1,1,8,0,0.06,0,0.06,0.03,0.03,1.5,0.7,3.2,0.04,0.09,0.13,0.02,0.11,96,37,16,0.46,0,0.000,0.228,0.000,,
,,,228,Jose Luis Sanmartin,28,16,5,596,2,0,0,0,1,0,0.3,0,0.3,0.3,0.3,1.5,1.5,0,0.22,0,0.22,0.22,0.22,30,15,1,0.15,0,0.000,0.151,0.000,,
,,,229,Diogo Jota,21,33,29,2355,9,5,0,0,11,0,0.34,0.19,0.54,0.34,0.54,8.1,8.1,4,0.31,0.15,0.46,0.31,0.46,139,29,10,0.38,0,0.000,0.420,0.000,,
,,,230,Mathias Jorgensen,28,24,24,2147,3,1,0,0,6,0,0.13,0.04,0.17,0.13,0.17,1,1,0.3,0.04,0.01,0.06,0.04,0.06,67,38,3,0.13,0,0.000,0.252,0.000,,
,,,231,Christian Kabasele,27,21,19,1586,0,0,0,0,4,1,0,0,0,0,0,1.3,1.3,0.1,0.08,0,0.08,0.08,0.08,36,29,3,0.17,0,0.000,0.227,0.057,,
,,,232,Elias Kachunga,26,20,13,1182,0,0,0,0,2,0,0,0,0,0,0,1,1,0.2,0.08,0.01,0.09,0.08,0.09,29,30,1,0.08,0,0.000,0.152,0.000,,
,,,233,Aboubakar Kamara,23,13,5,693,3,0,1,2,2,0,0.39,0,0.39,0.26,0.26,3.7,2.2,1.1,0.48,0.14,0.62,0.28,0.42,28,17,1,0.13,1,0.130,0.260,0.000,,
,,,234,Harry Kane,25,28,27,2424,17,4,4,4,5,0,0.63,0.15,0.78,0.48,0.63,14.1,11.1,4,0.53,0.15,0.68,0.41,0.56,160,31,9,0.33,0,0.000,0.186,0.000,,
,,,235,N'Golo Kanté,27,36,36,3092,4,4,0,0,3,0,0.12,0.12,0.23,0.12,0.23,2.7,2.7,3.7,0.08,0.11,0.19,0.08,0.19,116,38,14,0.41,0,0.000,0.087,0.000,,
,,,236,Beram Kayal,30,18,9,940,1,1,0,0,4,0,0.1,0.1,0.19,0.1,0.19,0.3,0.3,1,0.03,0.09,0.13,0.03,0.13,36,17,4,0.38,0,0.000,0.383,0.000,,
,,,237,Michael Keane,25,33,33,2969,1,2,0,0,2,0,0.03,0.06,0.09,0.03,0.09,1.9,1.9,0.7,0.06,0.02,0.08,0.06,0.08,129,39,13,0.39,0,0.000,0.061,0.000,,
,,,238,Neeskens Kebano,26,7,0,108,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0,0.05,0.05,0.05,7,3,0,0.00,0,0.000,0.000,0.000,,
,,,239,Naby Keita,23,25,16,1390,2,1,0,0,0,0,0.13,0.06,0.19,0.13,0.19,2.1,2.1,1.1,0.14,0.07,0.21,0.14,0.21,67,8,10,0.65,0,0.000,0.000,0.000,,
,,,240,Martin Kelly,28,13,12,1111,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.03,0,0.04,0.03,0.04,26,21,3,0.24,0,0.000,0.162,0.000,,
,,,241,Robert Kenedy Nunes do Nascimento,22,25,14,1348,1,1,0,1,1,0,0.07,0.07,0.13,0.07,0.13,2.5,1.7,0.8,0.16,0.05,0.22,0.11,0.17,50,18,6,0.40,1,0.067,0.067,0.000,,
,,,242,Jonjoe Kenny,21,10,8,791,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,19,15,1,0.11,0,0.000,0.114,0.000,,
,,,243,Max Kilman,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0,0.000,0.000,0.000,,
,,,244,Joshua King,26,35,34,2961,12,3,5,6,3,0,0.36,0.09,0.46,0.21,0.3,12.5,7.9,4.1,0.38,0.12,0.5,0.24,0.36,141,57,10,0.30,1,0.030,0.091,0.000,,
,,,245,Anthony Knockaert,26,30,18,1837,2,6,0,0,4,1,0.1,0.29,0.39,0.1,0.39,2.9,2.9,4.2,0.14,0.21,0.35,0.14,0.35,74,41,3,0.15,0,0.000,0.196,0.049,,
,,,246,Sead Kolasinac,25,24,22,1887,0,5,0,0,5,0,0,0.24,0.24,0,0.24,0.5,0.5,5.5,0.02,0.26,0.28,0.02,0.28,81,29,5,0.24,0,0.000,0.238,0.000,,
,,,247,Vincent Kompany,32,17,13,1224,1,0,0,0,6,0,0.07,0,0.07,0.07,0.07,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,58,7,6,0.44,0,0.000,0.441,0.000,,
,,,248,Terence Kongolo,24,32,32,2716,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.2,1.2,0.9,0.04,0.03,0.07,0.04,0.07,60,65,4,0.13,0,0.000,0.133,0.000,,
,,,249,Laurent Koscielny,32,17,13,1331,3,0,0,0,1,0,0.2,0,0.2,0.2,0.2,1.7,1.7,0.1,0.12,0.01,0.12,0.12,0.12,62,23,3,0.20,0,0.000,0.068,0.000,,
,,,250,Cheikhou Kouyaté,28,31,21,1899,0,2,0,0,3,0,0,0.09,0.09,0,0.09,1.4,1.4,0.9,0.07,0.04,0.11,0.07,0.11,67,30,9,0.43,0,0.000,0.142,0.000,,
,,,251,Mateo Kovacic,24,32,21,1735,0,2,0,0,3,0,0,0.1,0.1,0,0.1,1.8,1.8,2.4,0.09,0.12,0.22,0.09,0.22,64,19,9,0.47,0,0.000,0.156,0.000,,
,,,252,Rajiv van La Parra,27,5,5,405,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.06,0.03,0.09,0.06,0.09,10,6,1,0.22,0,0.000,0.000,0.000,,
,,,253,Alexandre Lacazette,27,35,27,2502,13,8,0,0,2,0,0.47,0.29,0.76,0.47,0.76,11.8,11.8,2.9,0.42,0.1,0.53,0.42,0.53,166,31,6,0.22,0,0.000,0.072,0.000,,
,,,254,Adam Lallana,30,13,5,468,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.5,0.07,0.1,0.17,0.07,0.17,23,3,3,0.58,0,0.000,0.192,0.000,,
,,,255,Erik Lamela,26,19,9,974,4,2,0,0,2,0,0.37,0.18,0.55,0.37,0.55,3.4,3.4,2.7,0.31,0.25,0.56,0.31,0.56,67,12,4,0.37,0,0.000,0.185,0.000,,
